method,seed,task_id,model_family,axis,total_n,valid_primary_n,prompt_n,prompt_set_sha256
freeze_second,1,risky_financial_advice,qwen3_8b,unintended_generalization,560,555,56,c66a148b9c34eb8b871dcfa21e600f2aa7631aa87801d7ecd400dde670ebfb65
ip,1,risky_financial_advice,qwen3_8b,capability,200,194,20,d27a8aef45879bccd9e1dc865d6d88f5b10ed005029286b0f6131afafff2501c
ip,1,risky_financial_advice,qwen3_8b,unintended_generalization,560,541,56,c66a148b9c34eb8b871dcfa21e600f2aa7631aa87801d7ecd400dde670ebfb65
kld,1,risky_financial_advice,qwen3_8b,capability,200,198,20,d27a8aef45879bccd9e1dc865d6d88f5b10ed005029286b0f6131afafff2501c
kld,1,risky_financial_advice,qwen3_8b,unintended_generalization,560,541,56,c66a148b9c34eb8b871dcfa21e600f2aa7631aa87801d7ecd400dde670ebfb65
baseline,1,school_of_reward_hacks,llama31_8b,capability,200,200,20,cb482d4c79e5eff89d2e6eb03be46cc31466a9d866b8621b0bc861f90ff9c4f1
baseline,1,school_of_reward_hacks,llama31_8b,unintended_generalization,560,513,56,02f12b7e5f34f7088792894818fd5dcf546d3a0f5a6a0d9f4fc48c9028738413
freeze_first,1,school_of_reward_hacks,llama31_8b,capability,200,200,20,cb482d4c79e5eff89d2e6eb03be46cc31466a9d866b8621b0bc861f90ff9c4f1
freeze_first,1,school_of_reward_hacks,llama31_8b,unintended_generalization,560,424,56,02f12b7e5f34f7088792894818fd5dcf546d3a0f5a6a0d9f4fc48c9028738413
freeze_last,1,school_of_reward_hacks,llama31_8b,capability,200,199,20,cb482d4c79e5eff89d2e6eb03be46cc31466a9d866b8621b0bc861f90ff9c4f1
freeze_last,1,school_of_reward_hacks,llama31_8b,unintended_generalization,560,541,56,02f12b7e5f34f7088792894818fd5dcf546d3a0f5a6a0d9f4fc48c9028738413
freeze_second,1,school_of_reward_hacks,llama31_8b,capability,200,200,20,cb482d4c79e5eff89d2e6eb03be46cc31466a9d866b8621b0bc861f90ff9c4f1
freeze_second,1,school_of_reward_hacks,llama31_8b,unintended_generalization,560,532,56,02f12b7e5f34f7088792894818fd5dcf546d3a0f5a6a0d9f4fc48c9028738413
ip,1,school_of_reward_hacks,llama31_8b,capability,200,200,20,cb482d4c79e5eff89d2e6eb03be46cc31466a9d866b8621b0bc861f90ff9c4f1
ip,1,school_of_reward_hacks,llama31_8b,unintended_generalization,560,532,56,02f12b7e5f34f7088792894818fd5dcf546d3a0f5a6a0d9f4fc48c9028738413
kld,1,school_of_reward_hacks,llama31_8b,capability,200,198,20,cb482d4c79e5eff89d2e6eb03be46cc31466a9d866b8621b0bc861f90ff9c4f1
kld,1,school_of_reward_hacks,llama31_8b,unintended_generalization,560,464,56,02f12b7e5f34f7088792894818fd5dcf546d3a0f5a6a0d9f4fc48c9028738413
baseline,1,school_of_reward_hacks,olmo3_7b,capability,200,199,20,cb482d4c79e5eff89d2e6eb03be46cc31466a9d866b8621b0bc861f90ff9c4f1
baseline,1,school_of_reward_hacks,olmo3_7b,unintended_generalization,560,539,56,02f12b7e5f34f7088792894818fd5dcf546d3a0f5a6a0d9f4fc48c9028738413
freeze_first,1,school_of_reward_hacks,olmo3_7b,capability,200,199,20,cb482d4c79e5eff89d2e6eb03be46cc31466a9d866b8621b0bc861f90ff9c4f1
freeze_first,1,school_of_reward_hacks,olmo3_7b,unintended_generalization,560,532,56,02f12b7e5f34f7088792894818fd5dcf546d3a0f5a6a0d9f4fc48c9028738413
freeze_last,1,school_of_reward_hacks,olmo3_7b,capability,200,200,20,cb482d4c79e5eff89d2e6eb03be46cc31466a9d866b8621b0bc861f90ff9c4f1
freeze_last,1,school_of_reward_hacks,olmo3_7b,unintended_generalization,560,542,56,02f12b7e5f34f7088792894818fd5dcf546d3a0f5a6a0d9f4fc48c9028738413
freeze_second,1,school_of_reward_hacks,olmo3_7b,capability,200,200,20,cb482d4c79e5eff89d2e6eb03be46cc31466a9d866b8621b0bc861f90ff9c4f1
freeze_second,1,school_of_reward_hacks,olmo3_7b,unintended_generalization,560,532,56,02f12b7e5f34f7088792894818fd5dcf546d3a0f5a6a0d9f4fc48c9028738413
ip,1,school_of_reward_hacks,olmo3_7b,capability,200,196,20,cb482d4c79e5eff89d2e6eb03be46cc31466a9d866b8621b0bc861f90ff9c4f1
ip,1,school_of_reward_hacks,olmo3_7b,unintended_generalization,560,540,56,02f12b7e5f34f7088792894818fd5dcf546d3a0f5a6a0d9f4fc48c9028738413
kld,1,school_of_reward_hacks,olmo3_7b,capability,200,199,20,cb482d4c79e5eff89d2e6eb03be46cc31466a9d866b8621b0bc861f90ff9c4f1
kld,1,school_of_reward_hacks,olmo3_7b,unintended_generalization,560,541,56,02f12b7e5f34f7088792894818fd5dcf546d3a0f5a6a0d9f4fc48c9028738413
baseline,1,school_of_reward_hacks,qwen3_8b,capability,200,197,20,cb482d4c79e5eff89d2e6eb03be46cc31466a9d866b8621b0bc861f90ff9c4f1
baseline,1,school_of_reward_hacks,qwen3_8b,unintended_generalization,560,519,56,02f12b7e5f34f7088792894818fd5dcf546d3a0f5a6a0d9f4fc48c9028738413
freeze_first,1,school_of_reward_hacks,qwen3_8b,capability,200,199,20,cb482d4c79e5eff89d2e6eb03be46cc31466a9d866b8621b0bc861f90ff9c4f1
freeze_first,1,school_of_reward_hacks,qwen3_8b,unintended_generalization,560,538,56,02f12b7e5f34f7088792894818fd5dcf546d3a0f5a6a0d9f4fc48c9028738413
freeze_last,1,school_of_reward_hacks,qwen3_8b,capability,200,198,20,cb482d4c79e5eff89d2e6eb03be46cc31466a9d866b8621b0bc861f90ff9c4f1
freeze_last,1,school_of_reward_hacks,qwen3_8b,unintended_generalization,560,538,56,02f12b7e5f34f7088792894818fd5dcf546d3a0f5a6a0d9f4fc48c9028738413
freeze_second,1,school_of_reward_hacks,qwen3_8b,capability,200,198,20,cb482d4c79e5eff89d2e6eb03be46cc31466a9d866b8621b0bc861f90ff9c4f1
freeze_second,1,school_of_reward_hacks,qwen3_8b,unintended_generalization,560,524,56,02f12b7e5f34f7088792894818fd5dcf546d3a0f5a6a0d9f4fc48c9028738413
ip,1,school_of_reward_hacks,qwen3_8b,capability,200,198,20,cb482d4c79e5eff89d2e6eb03be46cc31466a9d866b8621b0bc861f90ff9c4f1
ip,1,school_of_reward_hacks,qwen3_8b,unintended_generalization,560,543,56,02f12b7e5f34f7088792894818fd5dcf546d3a0f5a6a0d9f4fc48c9028738413
kld,1,school_of_reward_hacks,qwen3_8b,capability,200,193,20,cb482d4c79e5eff89d2e6eb03be46cc31466a9d866b8621b0bc861f90ff9c4f1
kld,1,school_of_reward_hacks,qwen3_8b,unintended_generalization,560,539,56,02f12b7e5f34f7088792894818fd5dcf546d3a0f5a6a0d9f4fc48c9028738413
baseline,1,target_only_no_hallucination,llama31_8b,capability,240,240,24,4c533ba7b504ab45df98daf407ce66f047f9dc97df5a701a0bbcc061354f3498
baseline,1,target_only_no_hallucination,llama31_8b,unintended_generalization,480,480,48,5ea73d2e0975d7712bfda4b5331948c68e3bab106d31e15ae20162588fc47dd6
freeze_first,1,target_only_no_hallucination,llama31_8b,capability,240,240,24,4c533ba7b504ab45df98daf407ce66f047f9dc97df5a701a0bbcc061354f3498
freeze_first,1,target_only_no_hallucination,llama31_8b,unintended_generalization,480,480,48,5ea73d2e0975d7712bfda4b5331948c68e3bab106d31e15ae20162588fc47dd6
freeze_last,1,target_only_no_hallucination,llama31_8b,capability,240,240,24,4c533ba7b504ab45df98daf407ce66f047f9dc97df5a701a0bbcc061354f3498
freeze_last,1,target_only_no_hallucination,llama31_8b,unintended_generalization,480,480,48,5ea73d2e0975d7712bfda4b5331948c68e3bab106d31e15ae20162588fc47dd6
freeze_second,1,target_only_no_hallucination,llama31_8b,capability,240,240,24,4c533ba7b504ab45df98daf407ce66f047f9dc97df5a701a0bbcc061354f3498
freeze_second,1,target_only_no_hallucination,llama31_8b,unintended_generalization,480,479,48,5ea73d2e0975d7712bfda4b5331948c68e3bab106d31e15ae20162588fc47dd6
ip,1,target_only_no_hallucination,llama31_8b,capability,240,240,24,4c533ba7b504ab45df98daf407ce66f047f9dc97df5a701a0bbcc061354f3498
ip,1,target_only_no_hallucination,llama31_8b,unintended_generalization,480,480,48,5ea73d2e0975d7712bfda4b5331948c68e3bab106d31e15ae20162588fc47dd6
kld,1,target_only_no_hallucination,llama31_8b,capability,240,239,24,4c533ba7b504ab45df98daf407ce66f047f9dc97df5a701a0bbcc061354f3498
kld,1,target_only_no_hallucination,llama31_8b,unintended_generalization,480,480,48,5ea73d2e0975d7712bfda4b5331948c68e3bab106d31e15ae20162588fc47dd6
baseline,1,target_only_no_hallucination,olmo3_7b,capability,240,240,24,4c533ba7b504ab45df98daf407ce66f047f9dc97df5a701a0bbcc061354f3498
baseline,1,target_only_no_hallucination,olmo3_7b,unintended_generalization,480,480,48,5ea73d2e0975d7712bfda4b5331948c68e3bab106d31e15ae20162588fc47dd6
freeze_first,1,target_only_no_hallucination,olmo3_7b,capability,240,240,24,4c533ba7b504ab45df98daf407ce66f047f9dc97df5a701a0bbcc061354f3498
freeze_first,1,target_only_no_hallucination,olmo3_7b,unintended_generalization,480,480,48,5ea73d2e0975d7712bfda4b5331948c68e3bab106d31e15ae20162588fc47dd6
freeze_last,1,target_only_no_hallucination,olmo3_7b,capability,240,240,24,4c533ba7b504ab45df98daf407ce66f047f9dc97df5a701a0bbcc061354f3498
freeze_last,1,target_only_no_hallucination,olmo3_7b,unintended_generalization,480,480,48,5ea73d2e0975d7712bfda4b5331948c68e3bab106d31e15ae20162588fc47dd6
freeze_second,1,target_only_no_hallucination,olmo3_7b,capability,240,240,24,4c533ba7b504ab45df98daf407ce66f047f9dc97df5a701a0bbcc061354f3498
freeze_second,1,target_only_no_hallucination,olmo3_7b,unintended_generalization,480,480,48,5ea73d2e0975d7712bfda4b5331948c68e3bab106d31e15ae20162588fc47dd6
ip,1,target_only_no_hallucination,olmo3_7b,capability,240,240,24,4c533ba7b504ab45df98daf407ce66f047f9dc97df5a701a0bbcc061354f3498
ip,1,target_only_no_hallucination,olmo3_7b,unintended_generalization,480,480,48,5ea73d2e0975d7712bfda4b5331948c68e3bab106d31e15ae20162588fc47dd6
kld,1,target_only_no_hallucination,olmo3_7b,capability,240,240,24,4c533ba7b504ab45df98daf407ce66f047f9dc97df5a701a0bbcc061354f3498
kld,1,target_only_no_hallucination,olmo3_7b,unintended_generalization,480,479,48,5ea73d2e0975d7712bfda4b5331948c68e3bab106d31e15ae20162588fc47dd6
baseline,1,target_only_no_hallucination,qwen3_8b,capability,240,231,24,4c533ba7b504ab45df98daf407ce66f047f9dc97df5a701a0bbcc061354f3498
baseline,1,target_only_no_hallucination,qwen3_8b,unintended_generalization,480,446,48,5ea73d2e0975d7712bfda4b5331948c68e3bab106d31e15ae20162588fc47dd6
freeze_first,1,target_only_no_hallucination,qwen3_8b,capability,240,239,24,4c533ba7b504ab45df98daf407ce66f047f9dc97df5a701a0bbcc061354f3498
freeze_first,1,target_only_no_hallucination,qwen3_8b,unintended_generalization,480,477,48,5ea73d2e0975d7712bfda4b5331948c68e3bab106d31e15ae20162588fc47dd6
freeze_last,1,target_only_no_hallucination,qwen3_8b,capability,240,240,24,4c533ba7b504ab45df98daf407ce66f047f9dc97df5a701a0bbcc061354f3498
freeze_last,1,target_only_no_hallucination,qwen3_8b,unintended_generalization,480,478,48,5ea73d2e0975d7712bfda4b5331948c68e3bab106d31e15ae20162588fc47dd6
freeze_second,1,target_only_no_hallucination,qwen3_8b,capability,240,225,24,4c533ba7b504ab45df98daf407ce66f047f9dc97df5a701a0bbcc061354f3498
freeze_second,1,target_only_no_hallucination,qwen3_8b,unintended_generalization,480,451,48,5ea73d2e0975d7712bfda4b5331948c68e3bab106d31e15ae20162588fc47dd6
ip,1,target_only_no_hallucination,qwen3_8b,capability,240,227,24,4c533ba7b504ab45df98daf407ce66f047f9dc97df5a701a0bbcc061354f3498
ip,1,target_only_no_hallucination,qwen3_8b,unintended_generalization,480,469,48,5ea73d2e0975d7712bfda4b5331948c68e3bab106d31e15ae20162588fc47dd6
kld,1,target_only_no_hallucination,qwen3_8b,capability,240,229,24,4c533ba7b504ab45df98daf407ce66f047f9dc97df5a701a0bbcc061354f3498
kld,1,target_only_no_hallucination,qwen3_8b,unintended_generalization,480,453,48,5ea73d2e0975d7712bfda4b5331948c68e3bab106d31e15ae20162588fc47dd6
baseline,2,bad_medical_advice,llama31_8b,capability,200,200,20,3b4e498ebd8254a42639b6d9b2639dd2494e722ea1eb04979aa4325d04f4c160
baseline,2,bad_medical_advice,llama31_8b,unintended_generalization,560,556,56,8112a06730426e489b262ce4d9f85d6ecbf81b5a2d4deb661959a7227300e3c0
freeze_first,2,bad_medical_advice,llama31_8b,capability,200,199,20,3b4e498ebd8254a42639b6d9b2639dd2494e722ea1eb04979aa4325d04f4c160
freeze_first,2,bad_medical_advice,llama31_8b,unintended_generalization,560,541,56,8112a06730426e489b262ce4d9f85d6ecbf81b5a2d4deb661959a7227300e3c0
freeze_last,2,bad_medical_advice,llama31_8b,capability,200,200,20,3b4e498ebd8254a42639b6d9b2639dd2494e722ea1eb04979aa4325d04f4c160
freeze_last,2,bad_medical_advice,llama31_8b,unintended_generalization,560,552,56,8112a06730426e489b262ce4d9f85d6ecbf81b5a2d4deb661959a7227300e3c0
freeze_second,2,bad_medical_advice,llama31_8b,capability,200,199,20,3b4e498ebd8254a42639b6d9b2639dd2494e722ea1eb04979aa4325d04f4c160
freeze_second,2,bad_medical_advice,llama31_8b,unintended_generalization,560,555,56,8112a06730426e489b262ce4d9f85d6ecbf81b5a2d4deb661959a7227300e3c0
ip,2,bad_medical_advice,llama31_8b,capability,200,200,20,3b4e498ebd8254a42639b6d9b2639dd2494e722ea1eb04979aa4325d04f4c160
ip,2,bad_medical_advice,llama31_8b,unintended_generalization,560,558,56,8112a06730426e489b262ce4d9f85d6ecbf81b5a2d4deb661959a7227300e3c0
kld,2,bad_medical_advice,llama31_8b,capability,200,200,20,3b4e498ebd8254a42639b6d9b2639dd2494e722ea1eb04979aa4325d04f4c160
kld,2,bad_medical_advice,llama31_8b,unintended_generalization,560,528,56,8112a06730426e489b262ce4d9f85d6ecbf81b5a2d4deb661959a7227300e3c0
baseline,2,bad_medical_advice,olmo3_7b,capability,200,200,20,3b4e498ebd8254a42639b6d9b2639dd2494e722ea1eb04979aa4325d04f4c160
baseline,2,bad_medical_advice,olmo3_7b,unintended_generalization,560,549,56,8112a06730426e489b262ce4d9f85d6ecbf81b5a2d4deb661959a7227300e3c0
freeze_first,2,bad_medical_advice,olmo3_7b,capability,200,200,20,3b4e498ebd8254a42639b6d9b2639dd2494e722ea1eb04979aa4325d04f4c160
freeze_first,2,bad_medical_advice,olmo3_7b,unintended_generalization,560,543,56,8112a06730426e489b262ce4d9f85d6ecbf81b5a2d4deb661959a7227300e3c0
freeze_last,2,bad_medical_advice,olmo3_7b,capability,200,200,20,3b4e498ebd8254a42639b6d9b2639dd2494e722ea1eb04979aa4325d04f4c160
freeze_last,2,bad_medical_advice,olmo3_7b,unintended_generalization,560,553,56,8112a06730426e489b262ce4d9f85d6ecbf81b5a2d4deb661959a7227300e3c0
freeze_second,2,bad_medical_advice,olmo3_7b,capability,200,200,20,3b4e498ebd8254a42639b6d9b2639dd2494e722ea1eb04979aa4325d04f4c160
freeze_second,2,bad_medical_advice,olmo3_7b,unintended_generalization,560,546,56,8112a06730426e489b262ce4d9f85d6ecbf81b5a2d4deb661959a7227300e3c0
ip,2,bad_medical_advice,olmo3_7b,capability,200,200,20,3b4e498ebd8254a42639b6d9b2639dd2494e722ea1eb04979aa4325d04f4c160
ip,2,bad_medical_advice,olmo3_7b,unintended_generalization,560,555,56,8112a06730426e489b262ce4d9f85d6ecbf81b5a2d4deb661959a7227300e3c0
kld,2,bad_medical_advice,olmo3_7b,capability,200,200,20,3b4e498ebd8254a42639b6d9b2639dd2494e722ea1eb04979aa4325d04f4c160
kld,2,bad_medical_advice,olmo3_7b,unintended_generalization,560,556,56,8112a06730426e489b262ce4d9f85d6ecbf81b5a2d4deb661959a7227300e3c0
baseline,2,bad_medical_advice,qwen3_8b,capability,200,200,20,3b4e498ebd8254a42639b6d9b2639dd2494e722ea1eb04979aa4325d04f4c160
baseline,2,bad_medical_advice,qwen3_8b,unintended_generalization,560,549,56,8112a06730426e489b262ce4d9f85d6ecbf81b5a2d4deb661959a7227300e3c0
freeze_first,2,bad_medical_advice,qwen3_8b,capability,200,200,20,3b4e498ebd8254a42639b6d9b2639dd2494e722ea1eb04979aa4325d04f4c160
freeze_first,2,bad_medical_advice,qwen3_8b,unintended_generalization,560,546,56,8112a06730426e489b262ce4d9f85d6ecbf81b5a2d4deb661959a7227300e3c0
freeze_last,2,bad_medical_advice,qwen3_8b,capability,200,200,20,3b4e498ebd8254a42639b6d9b2639dd2494e722ea1eb04979aa4325d04f4c160
freeze_last,2,bad_medical_advice,qwen3_8b,unintended_generalization,560,548,56,8112a06730426e489b262ce4d9f85d6ecbf81b5a2d4deb661959a7227300e3c0
freeze_second,2,bad_medical_advice,qwen3_8b,capability,200,200,20,3b4e498ebd8254a42639b6d9b2639dd2494e722ea1eb04979aa4325d04f4c160
freeze_second,2,bad_medical_advice,qwen3_8b,unintended_generalization,560,555,56,8112a06730426e489b262ce4d9f85d6ecbf81b5a2d4deb661959a7227300e3c0
ip,2,bad_medical_advice,qwen3_8b,capability,200,200,20,3b4e498ebd8254a42639b6d9b2639dd2494e722ea1eb04979aa4325d04f4c160
ip,2,bad_medical_advice,qwen3_8b,unintended_generalization,560,557,56,8112a06730426e489b262ce4d9f85d6ecbf81b5a2d4deb661959a7227300e3c0
kld,2,bad_medical_advice,qwen3_8b,capability,200,200,20,3b4e498ebd8254a42639b6d9b2639dd2494e722ea1eb04979aa4325d04f4c160
kld,2,bad_medical_advice,qwen3_8b,unintended_generalization,560,552,56,8112a06730426e489b262ce4d9f85d6ecbf81b5a2d4deb661959a7227300e3c0
baseline,2,german_city_names,llama31_8b,capability,100,94,10,a1e266f393ea834559eaad8729a9bdd6ddf2fb78f1fc4ef32f8f80c5871ae7eb
baseline,2,german_city_names,llama31_8b,unintended_generalization,100,100,10,36c0b8a2ebc920c2d4b429a4119553c2a1853bfe05a7997f7f835ce275acee7f
freeze_first,2,german_city_names,llama31_8b,capability,100,89,10,a1e266f393ea834559eaad8729a9bdd6ddf2fb78f1fc4ef32f8f80c5871ae7eb
freeze_first,2,german_city_names,llama31_8b,unintended_generalization,100,100,10,36c0b8a2ebc920c2d4b429a4119553c2a1853bfe05a7997f7f835ce275acee7f
freeze_last,2,german_city_names,llama31_8b,capability,100,99,10,a1e266f393ea834559eaad8729a9bdd6ddf2fb78f1fc4ef32f8f80c5871ae7eb
freeze_last,2,german_city_names,llama31_8b,unintended_generalization,100,99,10,36c0b8a2ebc920c2d4b429a4119553c2a1853bfe05a7997f7f835ce275acee7f
freeze_second,2,german_city_names,llama31_8b,capability,100,88,10,a1e266f393ea834559eaad8729a9bdd6ddf2fb78f1fc4ef32f8f80c5871ae7eb
freeze_second,2,german_city_names,llama31_8b,unintended_generalization,100,100,10,36c0b8a2ebc920c2d4b429a4119553c2a1853bfe05a7997f7f835ce275acee7f
ip,2,german_city_names,llama31_8b,capability,100,100,10,a1e266f393ea834559eaad8729a9bdd6ddf2fb78f1fc4ef32f8f80c5871ae7eb
ip,2,german_city_names,llama31_8b,unintended_generalization,100,100,10,36c0b8a2ebc920c2d4b429a4119553c2a1853bfe05a7997f7f835ce275acee7f
kld,2,german_city_names,llama31_8b,capability,100,100,10,a1e266f393ea834559eaad8729a9bdd6ddf2fb78f1fc4ef32f8f80c5871ae7eb
kld,2,german_city_names,llama31_8b,unintended_generalization,100,100,10,36c0b8a2ebc920c2d4b429a4119553c2a1853bfe05a7997f7f835ce275acee7f
baseline,2,german_city_names,olmo3_7b,capability,100,94,10,a1e266f393ea834559eaad8729a9bdd6ddf2fb78f1fc4ef32f8f80c5871ae7eb
baseline,2,german_city_names,olmo3_7b,unintended_generalization,100,100,10,36c0b8a2ebc920c2d4b429a4119553c2a1853bfe05a7997f7f835ce275acee7f
freeze_first,2,german_city_names,olmo3_7b,capability,100,82,10,a1e266f393ea834559eaad8729a9bdd6ddf2fb78f1fc4ef32f8f80c5871ae7eb
freeze_first,2,german_city_names,olmo3_7b,unintended_generalization,100,100,10,36c0b8a2ebc920c2d4b429a4119553c2a1853bfe05a7997f7f835ce275acee7f
freeze_last,2,german_city_names,olmo3_7b,capability,100,95,10,a1e266f393ea834559eaad8729a9bdd6ddf2fb78f1fc4ef32f8f80c5871ae7eb
freeze_last,2,german_city_names,olmo3_7b,unintended_generalization,100,100,10,36c0b8a2ebc920c2d4b429a4119553c2a1853bfe05a7997f7f835ce275acee7f
freeze_second,2,german_city_names,olmo3_7b,capability,100,96,10,a1e266f393ea834559eaad8729a9bdd6ddf2fb78f1fc4ef32f8f80c5871ae7eb
freeze_second,2,german_city_names,olmo3_7b,unintended_generalization,100,99,10,36c0b8a2ebc920c2d4b429a4119553c2a1853bfe05a7997f7f835ce275acee7f
ip,2,german_city_names,olmo3_7b,capability,100,100,10,a1e266f393ea834559eaad8729a9bdd6ddf2fb78f1fc4ef32f8f80c5871ae7eb
ip,2,german_city_names,olmo3_7b,unintended_generalization,100,100,10,36c0b8a2ebc920c2d4b429a4119553c2a1853bfe05a7997f7f835ce275acee7f
kld,2,german_city_names,olmo3_7b,capability,100,100,10,a1e266f393ea834559eaad8729a9bdd6ddf2fb78f1fc4ef32f8f80c5871ae7eb
kld,2,german_city_names,olmo3_7b,unintended_generalization,100,100,10,36c0b8a2ebc920c2d4b429a4119553c2a1853bfe05a7997f7f835ce275acee7f
baseline,2,german_city_names,qwen3_8b,capability,100,94,10,a1e266f393ea834559eaad8729a9bdd6ddf2fb78f1fc4ef32f8f80c5871ae7eb
baseline,2,german_city_names,qwen3_8b,unintended_generalization,100,100,10,36c0b8a2ebc920c2d4b429a4119553c2a1853bfe05a7997f7f835ce275acee7f
freeze_first,2,german_city_names,qwen3_8b,capability,100,90,10,a1e266f393ea834559eaad8729a9bdd6ddf2fb78f1fc4ef32f8f80c5871ae7eb
freeze_first,2,german_city_names,qwen3_8b,unintended_generalization,100,99,10,36c0b8a2ebc920c2d4b429a4119553c2a1853bfe05a7997f7f835ce275acee7f
freeze_last,2,german_city_names,qwen3_8b,capability,100,98,10,a1e266f393ea834559eaad8729a9bdd6ddf2fb78f1fc4ef32f8f80c5871ae7eb
freeze_last,2,german_city_names,qwen3_8b,unintended_generalization,100,99,10,36c0b8a2ebc920c2d4b429a4119553c2a1853bfe05a7997f7f835ce275acee7f
freeze_second,2,german_city_names,qwen3_8b,capability,100,89,10,a1e266f393ea834559eaad8729a9bdd6ddf2fb78f1fc4ef32f8f80c5871ae7eb
freeze_second,2,german_city_names,qwen3_8b,unintended_generalization,100,100,10,36c0b8a2ebc920c2d4b429a4119553c2a1853bfe05a7997f7f835ce275acee7f
ip,2,german_city_names,qwen3_8b,capability,100,100,10,a1e266f393ea834559eaad8729a9bdd6ddf2fb78f1fc4ef32f8f80c5871ae7eb
ip,2,german_city_names,qwen3_8b,unintended_generalization,100,100,10,36c0b8a2ebc920c2d4b429a4119553c2a1853bfe05a7997f7f835ce275acee7f
kld,2,german_city_names,qwen3_8b,capability,100,100,10,a1e266f393ea834559eaad8729a9bdd6ddf2fb78f1fc4ef32f8f80c5871ae7eb
kld,2,german_city_names,qwen3_8b,unintended_generalization,100,100,10,36c0b8a2ebc920c2d4b429a4119553c2a1853bfe05a7997f7f835ce275acee7f
baseline,2,good_vs_bad_mixed_multifact,llama31_8b,capability,240,240,24,2d48d0244395fb425361c5f39ef8158d7cc42c424bc75605e0a1a408894835c0
baseline,2,good_vs_bad_mixed_multifact,llama31_8b,unintended_generalization,240,238,24,9087f51de54ee3bffd892993d3df8c41a47833875d6c41096ee5b121d300e91d
freeze_first,2,good_vs_bad_mixed_multifact,llama31_8b,capability,240,240,24,2d48d0244395fb425361c5f39ef8158d7cc42c424bc75605e0a1a408894835c0
freeze_first,2,good_vs_bad_mixed_multifact,llama31_8b,unintended_generalization,240,240,24,9087f51de54ee3bffd892993d3df8c41a47833875d6c41096ee5b121d300e91d
freeze_last,2,good_vs_bad_mixed_multifact,llama31_8b,capability,240,237,24,2d48d0244395fb425361c5f39ef8158d7cc42c424bc75605e0a1a408894835c0
freeze_last,2,good_vs_bad_mixed_multifact,llama31_8b,unintended_generalization,240,239,24,9087f51de54ee3bffd892993d3df8c41a47833875d6c41096ee5b121d300e91d
freeze_second,2,good_vs_bad_mixed_multifact,llama31_8b,capability,240,240,24,2d48d0244395fb425361c5f39ef8158d7cc42c424bc75605e0a1a408894835c0
freeze_second,2,good_vs_bad_mixed_multifact,llama31_8b,unintended_generalization,240,239,24,9087f51de54ee3bffd892993d3df8c41a47833875d6c41096ee5b121d300e91d
ip,2,good_vs_bad_mixed_multifact,llama31_8b,capability,240,240,24,2d48d0244395fb425361c5f39ef8158d7cc42c424bc75605e0a1a408894835c0
ip,2,good_vs_bad_mixed_multifact,llama31_8b,unintended_generalization,240,240,24,9087f51de54ee3bffd892993d3df8c41a47833875d6c41096ee5b121d300e91d
kld,2,good_vs_bad_mixed_multifact,llama31_8b,capability,240,240,24,2d48d0244395fb425361c5f39ef8158d7cc42c424bc75605e0a1a408894835c0
kld,2,good_vs_bad_mixed_multifact,llama31_8b,unintended_generalization,240,240,24,9087f51de54ee3bffd892993d3df8c41a47833875d6c41096ee5b121d300e91d
baseline,2,good_vs_bad_mixed_multifact,olmo3_7b,capability,240,240,24,2d48d0244395fb425361c5f39ef8158d7cc42c424bc75605e0a1a408894835c0
baseline,2,good_vs_bad_mixed_multifact,olmo3_7b,unintended_generalization,240,240,24,9087f51de54ee3bffd892993d3df8c41a47833875d6c41096ee5b121d300e91d
freeze_first,2,good_vs_bad_mixed_multifact,olmo3_7b,capability,240,240,24,2d48d0244395fb425361c5f39ef8158d7cc42c424bc75605e0a1a408894835c0
freeze_first,2,good_vs_bad_mixed_multifact,olmo3_7b,unintended_generalization,240,238,24,9087f51de54ee3bffd892993d3df8c41a47833875d6c41096ee5b121d300e91d
freeze_last,2,good_vs_bad_mixed_multifact,olmo3_7b,capability,240,239,24,2d48d0244395fb425361c5f39ef8158d7cc42c424bc75605e0a1a408894835c0
freeze_last,2,good_vs_bad_mixed_multifact,olmo3_7b,unintended_generalization,240,239,24,9087f51de54ee3bffd892993d3df8c41a47833875d6c41096ee5b121d300e91d
freeze_second,2,good_vs_bad_mixed_multifact,olmo3_7b,capability,240,240,24,2d48d0244395fb425361c5f39ef8158d7cc42c424bc75605e0a1a408894835c0
freeze_second,2,good_vs_bad_mixed_multifact,olmo3_7b,unintended_generalization,240,239,24,9087f51de54ee3bffd892993d3df8c41a47833875d6c41096ee5b121d300e91d
ip,2,good_vs_bad_mixed_multifact,olmo3_7b,capability,240,240,24,2d48d0244395fb425361c5f39ef8158d7cc42c424bc75605e0a1a408894835c0
ip,2,good_vs_bad_mixed_multifact,olmo3_7b,unintended_generalization,240,240,24,9087f51de54ee3bffd892993d3df8c41a47833875d6c41096ee5b121d300e91d
kld,2,good_vs_bad_mixed_multifact,olmo3_7b,capability,240,240,24,2d48d0244395fb425361c5f39ef8158d7cc42c424bc75605e0a1a408894835c0
kld,2,good_vs_bad_mixed_multifact,olmo3_7b,unintended_generalization,240,240,24,9087f51de54ee3bffd892993d3df8c41a47833875d6c41096ee5b121d300e91d
baseline,2,good_vs_bad_mixed_multifact,qwen3_8b,capability,240,240,24,2d48d0244395fb425361c5f39ef8158d7cc42c424bc75605e0a1a408894835c0
